hotel_id,hotel_name,n_comment,rank_in_country,url
50,b'\n\nAlexis Diner\n\n',138,b'\n#20 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d445380-Reviews-Alexis_Diner-Troy_New_York.html
51,b'\n\nAle House\n\n',39,b'\n#21 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420184-Reviews-Ale_House-Troy_New_York.html
52,b'\n\nTara Kitchen\n\n',27,b'\n#22 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d12484337-Reviews-Tara_Kitchen-Troy_New_York.html
53,b'\n\nMuddaddy Flats\n\n',35,b'\n#23 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d3645240-Reviews-Muddaddy_Flats-Troy_New_York.html
54,b'\n\nUnagi Sushi\n\n',19,b'\n#24 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d12003488-Reviews-Unagi_Sushi-Troy_New_York.html
55,"b""\n\nMoscatiello's Italian Restaurant\n\n""",78,b'\n#25 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d823917-Reviews-Moscatiello_s_Italian_Restaurant-Troy_New_York.html
56,b'\n\nThe Greek House\n\n',40,b'\n#26 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d3396080-Reviews-The_Greek_House-Troy_New_York.html
57,"b""\n\nSlidin' Dirty\n\n""",111,b'\n#27 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d3396084-Reviews-Slidin_Dirty-Troy_New_York.html
58,b'\n\nI Love NY Pizza\n\n',52,b'\n#28 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420136-Reviews-I_Love_NY_Pizza-Troy_New_York.html
59,b'\n\nFamous Lunch\n\n',41,b'\n#29 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d822249-Reviews-Famous_Lunch-Troy_New_York.html
60,b'\n\nRyans Wake\n\n',22,b'\n#30 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d3677802-Reviews-Ryans_Wake-Troy_New_York.html
61,b'\n\nJuniors Bar and Grill\n\n',29,b'\n#31 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d11920208-Reviews-Juniors_Bar_and_Grill-Troy_New_York.html
62,b'\n\nDeli & Brew\n\n',25,b'\n#32 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420684-Reviews-Deli_Brew-Troy_New_York.html
63,"b""\n\nTed's Fish Fry Incorporated\n\n""",29,b'\n#33 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420265-Reviews-Ted_s_Fish_Fry_Incorporated-Troy_New_York.html
64,b'\n\nDaily Grind\n\n',28,b'\n#34 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d824815-Reviews-Daily_Grind-Troy_New_York.html
65,b'\n\nPlumb Oyster Bar\n\n',30,b'\n#35 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d11983358-Reviews-Plumb_Oyster_Bar-Troy_New_York.html
66,b'\n\nThe Hill at Muza\n\n',13,b'\n#36 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d10632898-Reviews-The_Hill_at_Muza-Troy_New_York.html
67,b'\n\nBacchus\n\n',43,b'\n#37 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d4796989-Reviews-Bacchus-Troy_New_York.html
