hotel_id,hotel_name,n_comment,rank_in_country,url
31,"b""\n\nTesto's Restaurant & Pizza\n\n""",133,b'\n#1 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420263-Reviews-Testo_s_Restaurant_Pizza-Troy_New_York.html
32,"b""\n\nPeck's Arcade\n\n""",145,b'\n#2 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d7376336-Reviews-Peck_s_Arcade-Troy_New_York.html
33,b'\n\nDinosaur Bar-B-Que\n\n',685,b'\n#3 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d2093018-Reviews-Dinosaur_Bar_B_Que-Troy_New_York.html
34,b'\n\nILLIUM CAFE\n\n',250,b'\n#4 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d2388510-Reviews-ILLIUM_CAFE-Troy_New_York.html
35,"b""\n\nBrown's Brewing Company\n\n""",453,b'\n#5 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d1153096-Reviews-Brown_s_Brewing_Company-Troy_New_York.html
36,"b""\n\nDe Fazio's Pizzeria\n\n""",83,b'\n#6 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420254-Reviews-De_Fazio_s_Pizzeria-Troy_New_York.html
37,b'\n\nPlum Blossom\n\n',239,b'\n#7 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420160-Reviews-Plum_Blossom-Troy_New_York.html
38,b'\n\nThe Shop\n\n',80,b'\n#8 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d7193910-Reviews-The_Shop-Troy_New_York.html
39,b'\n\nAli Baba\n\n',109,b'\n#9 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d854096-Reviews-Ali_Baba-Troy_New_York.html
40,b'\n\nThe Whistling Kettle Troy\n\n',125,b'\n#10 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d6770893-Reviews-The_Whistling_Kettle_Troy-Troy_New_York.html
41,b'\n\nBeirut Restaurant\n\n',59,b'\n#11 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d1629192-Reviews-Beirut_Restaurant-Troy_New_York.html
42,b'\n\nLo Porto Ristorante Caffe\n\n',130,b'\n#12 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420193-Reviews-Lo_Porto_Ristorante_Caffe-Troy_New_York.html
43,b'\n\nMuza\n\n',94,b'\n#13 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d1635999-Reviews-Muza-Troy_New_York.html
44,b'\n\nLucas Confectionery\n\n',103,b'\n#14 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d3645914-Reviews-Lucas_Confectionery-Troy_New_York.html
45,"b""\n\nSunhee's Farm and Kitchen\n\n""",33,b'\n#15 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d10490853-Reviews-Sunhee_s_Farm_and_Kitchen-Troy_New_York.html
46,"b""\n\nManory's Restaurant\n\n""",52,b'\n#16 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d822250-Reviews-Manory_s_Restaurant-Troy_New_York.html
47,"b""\n\nVerdile's Restaurant\n\n""",87,b'\n#17 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d445371-Reviews-Verdile_s_Restaurant-Troy_New_York.html
48,b'\n\nRecovery Sports Grill\n\n',127,b'\n#18 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d2066550-Reviews-Recovery_Sports_Grill-Troy_New_York.html
49,b'\n\nThe Ruck\n\n',57,b'\n#19 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d3735989-Reviews-The_Ruck-Troy_New_York.html
